Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"Read about how PGE is making methane out of manure in this issue of eBiz.

Also in this issue:
Enron's first quarter earnings overview
Online energy t...","""Take This Job and Shovel It""","in this issue of eBiz, read about how PGE is making methane out of manure. eBiz",Enron's first quarter earnings overview
MP3.com <http://click.mp3.com/c/n_676924676/t_dsmM/u_www/>	 Toyota Matrix <http://click.mp3.com/c/n_676924676/t_dso6/u_ad.doubleclick.net/clk;3411253;...,Check Out Gorillaz and the New Toyota Matrix!,MP3.com/c/n_676924676/t_dsmM/u_www/ Toyota Matrix.,Gorillaz and get inspired to mix your own video
"you will want to cover arround 85.71, which should happen on or before july
 -----Original Message-----
From: Fenner, Chet [mailto:Chet_Fenner@bmc.com...",YOU CAN THANK ME LATER,"parks, Joe Subject: RE: YOU CAN THANK ME LATER its called liquidation -----Original Message----- From:",YOU CAN THANK ME LATER
"Kathy,
I will be available on Tuesday but it would have to be either earlier or later on in the day.  I could meet with Britt at 3PM or at 9 AM. Any i...",Meeting with Britt Whitman,I will be available on Tuesday but it would have to be either earlier or later on in the day. I could meet with Britt at 3PM,Meeting with Britt Whitman
"Southwest Airlines Vacations Weekly E-mail Update
______________________________________________________________________

We are now accepting Southwe...",Last Week for savings to Reno and Lake Tahoe,this week's e-mail features: I. $25 Off Per Person to Reno! II. $50 Off Per Person to Lake Tahoe! III,Southwest Airlines Vacations Weekly E-mail Update
"CPR and First Aid Certification
CPR and First Aid certification is being offered on Thursday, November 15, 2001, from 1:30 p.m. - 5:30 p.m. in the Bod...",Upcoming Wellness Activities,"CPR and First Aid certification is being offered on Thursday, November 15, 2001, from 1:30 p.m. - 5:30 p.m",CPR and First Aid Certification
"---------------------- Forwarded by Scott Neal/HOU/ECT on 10/13/2000 03:59 =
PM=20
---------------------------
  =20
=09Enron North America Corp.
=09
...",Open Enrollment 2001,"your 2000 elections wil= l=20 automatically rollover for 2001, so if you don=01,t want to make any change",Open Enrollment 2001
"A file is missing from our central files.  The file is entitled Bammel Gas 
Trust Transcript of Docments and Barbara needs the file.  If you have the ...",ENA UPSTREAM LEGAL GROUP,a file is missing from our central files. the file is entitled Bammel Gas Trust Transcript of Docments.,Bammel Gas Trust Transcript of Docments
"October 26 is fast approaching!  

Mark your calendar-- 
	as the Enron Corp. Savings Plan moves to a new administrator!

As a Savings Plan Participant...",To: All Domestic Employees who Participate in the Enron Corp,your funds will remain invested in the funds chosen as of 3:00pm CST until 8:00 am November 20. at 8:00 am CST,Enron Corp. Savings Plan
"It has been pointed out to us that saving your e-mail messages to the netwo=
rk=20
as described in our earlier instructions does not save the =01&From...",HPL Sale Regulatory Documentation,you do=20 need to change anything else in the message. click on the =01&Send=018 button at the top of the,Lotus Notes: Open the message
"Mark:

Attached please find the latest version of the Long Description for the new 
Nuclear Outage Knock-In Call Option.  Let me know if you have any ...",Nuclear Outage Knock-In Call Option Product Description,the long description for the new nuclear outage Knock-in call option is now available.,Nuclear Outage Knock-In Call Option
"I will not be able attend but Errol will be there in my place.
Thanks,
John


PAMELA 
SONNIER        
08/09/2000 10:27 AM

To: David P Dupre/HOU/ECT@E...",Carr Futures Presentation,the presentation is real time via the internet and takes approximately 1 1/2 to 2 hours depending on the number of questions raised. Lunch will be served and we,Carr Futures Presentation
"OR  
Well, which one is it?  You want to share some information with the rest of 
Enron, but you don't know whether it belongs in the ThinkBank or in ...",eThink About It: 3/26/01,you don't know whether it belongs in the ThinkBank or in eMeet. answers appear just below the quiz.,Answers appear just below the quiz.
"House of Blues has begun providing customized local event calendars via
email. This weekly email calendar will provide you with an up to date
schedule...",House of Blues Upcoming Events Calendar - Denver,house of blues has begun providing customized local event calendars via email. this weekly email calendar will provide you with an up to date schedule of this,House of Blues - It Is Live
"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 02/24/2000 
04:59 PM ---------------------------


Jlpnymex@aol.com on 02/22/2000 03:5...","March 2, NYMEX night at the rodeo",depart Pappasito's office at 5:30 p.m. by limo to cars at Pappasito's,"March 2, NYMEX night at the rodeo"
"I got a call from AEP asking that we have Louise initial the changes we made 
in the CA and fax it back to them - is she here today?...",Confidentiality Agreement,we have Louise initial the changes we made in the CA and fax it back to them. is she here?,AEP calls for Louise to initial the changes.
"Cerrito Lastiendas - has meter flow on the 7th and the deal ended on the 6th.  Can we extend the deal for the 48 mmbtu's that flowed
or can I override...",Meter 1558 April 2001,meter flow on the 7th and the deal ended on the 6th. can we extend the deal for the 48 mmbtu',Cerrito Lastiendas meter flow on 7th and 6th
"Dear Alumni,

Cornerstone Research is searching for Associates for their offices nationwide. 
MBA candidates with backgrounds in economics, finance an...",Career Opportunity: Associate with Cornerstone Research,Cornerstone Research is searching for Associates for their offices nationwide. Interested candidates can send their cover letters and resume attention to: Associate Recruiting Director,Cornerstone Research is searching for Associates for their offices nationwide
"Museum of Fine Arts, Houston
Conoco & KRTS 92.1

invite you, your co-workers and your friends to

Fine Arts Friday
A Corporate Partners Event

This mo...","MFAH Fine Arts Friday- January 4, 2002","museum of Fine Arts, Houston Conoco & KRTS 92.1 invite you, your co-workers and your friends to Fine Arts Friday",Fine Arts Friday A Corporate Partners Event
"Attached is a new link for employees unable to attend the all-employee meeting today at 10 a.m. (CDT) at the Hyatt Regency Houston, Imperial Ballroom....",New Link for All-Employee Meeting,employees unable to attend the all-employee meeting at 10 a.m. (CDT) at the Hyatt,All-employee Meeting
"For the week September 5-7:

Due toTranswestern's maintenance, weekly average deliveries to California 
were 800 MMcf/d while east deliveries averaged...",Transwestern Weekly Report,weekly average deliveries to California were 800 MMcf/d while east deliveries averaged 317 MMcf/d. El Paso,Perm-CA basis numbers
"Ginny,  Please see the attached guaranty.  A clean and redlined version are 
attached.  I revised the language based on our discussions and added the ...",Enron Corp. Guaranty,a clean and redlined version are attached. I revised the language based on our discussions.,A clean and redlined version are attached
"I am calculating that only 44,374 should be applied to the HPLR IFERC 
contract at the Tap to finish the obligation for the month.

D




""Melissa Jon...","Enron / HPL Actuals for August 21, 2000","calculating that only 44,374 should be applied to the HPLR IFERC contract at the Tap to finish the obligation for the month.","Enron / HPL Actuals for August 21, 2000"
"John:  Per my voice mail.  Please call.  Sara
----- Forwarded by Sara Shackleton/HOU/ECT on 06/01/2000 08:05 AM -----

	Duncan Croasdale
	05/31/2000 0...",ATCO Power Canada Ltd. Master Enabling Agreement,Sara Shackleton/HOU/ECT on 06/01/2000 08:05 AM ----- Duncan Croasdale 05/31/2000 06:,ATCO Power Canada Ltd. Master Enabling Agreement
"Attached please find the most recent version of the LV Cogen/ABB
Agreement (second document below) that incorporates the contractor's
comments in Exhi...",LV Cogen/ABB Agreement,the most recent version of the LV Cogen/ABB Agreement incorporates the contractor's comments in Exhibit B-1. a,LV Cogen/ABB Agreement
"Ann Elizabeth,

Can you handle this?  This is another Florida lobby deal.

Kay
---------------------- Forwarded by Kay Mann/Corp/Enron on 03/09/2001 0...",Legal Services Agreement,Kay --------------------- Forwarded by Kay Mann/Corp/Enron on 03/09/2001 04:19 PM.,Legal Services Agreement
"In October of this year, we asked you to participate in the =01&Pulse=018 s=
urvey. =20
Over 70% of you were willing to take the time to respond.  Tha...",Pulse Survey Memo from the Office of the Chairman,this= =20 is our highest response to an all Enron employee survey ever. over 70% of you were willing to take the time to respond,Enron Employee Survey
"Company: 000236     Arng: 37147-01918     Eff Date: 2001-10-27

                        ----- Receipt -----   ----- Delivery -----
                   ...",Columbia Reduction for Enron N A,Eff Date: 2001-10-27 ----- Receipt ----- ----- Delivery ----- Quantity Cut CD Quantity Cut CD No,Receipt ----- ----- Delivery ----- Quantity Cut CD
"I would like Morris Brassfield and Carolyn Centilli to play this role.

 -----Original Message-----
From: 	Gillespie, John  
Sent:	Wednesday, October ...",iPayit Enhancement Review Committee,the iPayit enhancement review committee will be made up of Enron representatives from multiple business units. a kick-off meeting will be,iPayit Enhancement Review Committee
"Darren,
 I left this in my email inbox for some reason.  It is my recollection that 
we talked about this and I asked you to have them make the change...",Exelon Marked-up Version Enron Guaranty,"a copy of the attached ""marked-up"" version of the Enron Guaranty Darren Vanek review our recommended changes ",Exelon Marked-up Version Enron Guaranty
"When: Monday, December 31, 2001 1:00 PM-1:30 PM (GMT-06:00) Central Time (US & Canada).
Where: EB42C2

*~*~*~*~*~*~*~*~*~*...",North Team Mtg. per Jerry W. Ava-35842,EB42C2 *************,Central Time (EB42C2)
"I think Prebon is out of the business, largely.  Have you checked with John 
Nowlan regarding which brokers he would suggest?  I'm not sure PVM is the...",EnronOnline Broker Client,"I think Prebon is out of the business, largely. I'm not sure PVM is the right broker for all of our crude needs",EnronOnline Broker Client
"Jane,

- could you let me know what the Japanese lawyers think of John's argument 
that this deal is to hedge weather risk arising in the ordinary cou...",... Urgent Weather Derivative Advice ...,japanese lawyers think this deal is to hedge weather risk arising in the ordinary course of our Japanese business. if that is not,Japanese lawyers think this deal is to hedge weather risk arising in our Japanese business.
Start Date: 2/2/02; HourAhead hour: 16;  HourAhead schedule download failed. Manual intervention required....,Schedule Crawler: HourAhead Failure,manual intervention required.,Start Date: 2/2/02; HourAhead hour: 16; HourAhead schedule download failed
"Radio is reporting that Gov Davis has requested primtime radio and TV today 
for a ""historic"" announcement.  Jeff and I are checking our sources to se...","Davis on ""primetime"" Today",radio is reporting that Gov. Davis has requested primtime radio and television. we are checking our sources to see if we can get any info on,Public Takeover of Transmission
"Attached is an initial draft of an Agreement between the Power Systems 
entities and Enron regarding the General Electric Settlement Agreement.

Pleas...",Power Systems Agreement,"Scott L. Miller Bracewell & Patterson, L.L.P. Phone (713) 221-1131 Fax (713) ",General Electric Settlement Agreement
"---------------------- Forwarded by Mark L Schrab/HOU/ECT on 11/20/2000 03:10 
PM ---------------------------


Billyoung3@aol.com on 11/20/2000 01:23...",Nomination Revision for VR 375 wells,forwarded by Mark L Schrab/HOU/ECT on 11/20/2000 03:10 PM --------------- Billyoung3,Nomination Revision for VR 375 wells
"Sara,
Here is the project work description from FYI-NET.  I would appreciate your 
thoughts on this document.

Thanks for your help,

Dan
------------...",Updated Project Work Description,Dan --------------------- Forwarded by Daniel Diamond/HOU/ECT on 10/02/2000 09:06 AM.,Updated Project Work Description
"Thanks for the information, but I do not recall that the ELU is a party=20
participant to the October 18, 2000 email agreement. Accordingly, no horse ...",Chamber of Commerce invoices for Dutch BVs,"no horse = in=20 the race, no vote to be counted, and no fee to be charged. the ELU is a",Chamber of Commerce invoices for Dutch BVs
"Kathy, Mr. Jeff Skilling has an Enron meeting on November 30 that will 
prevent his participation in the Houston Mentor Network Breakfast.
Thank you, ...",Houston Mentor Network Breakfast Invitation,"the breakfast will be held on Thursday, November 30, 2000 at the Briar Club, 2603 Timmons from 7:00 a.m. ",Houston Mentor Network Breakfast Invitation
"Order Date:Dec 14 2000 19:29:34
Internet Order: 571289
-------------------------------------------------------------- Sold To
------------------------...",Brooks Brothers Order Receipt,"errol McLaughlin 2610 Palm St Houston, TX 77004, United States 713-345-8274 Ship with:",Order Date:Dec 14 2000
"You are at home vacuuming and mopping aren't you.

-----Original Message-----
From: McLaughlin Jr., Errol 
Sent: Tuesday, November 20, 2001 3:28 PM
To...",Wednesday Nite Procedures,"for Thursday, your dates will be 22-NOV-2001 & 21-NOV-20001. Friday's calc's will",Wednesday Nite Procedures
"Hello Rob Benson,

In this issue:
Feature: Is The Wind Still Blowing?  Earnings summaries of companies from across RWR's Energy Index.  All the news, ...",The Prometheus File - Energy Technology Weekly 1/25/02,Feature: Is The Wind Still Blowing? Earnings summaries of companies from across RWR's Energy Index. all the,Feature: Is The Wind Still Blowing?
"Chris, thank you for your message; it means so much to me and to Carrin.  All the best. Jim

 -----Original Message-----
From: 	""LaFollette, Chris"" <C...",St. Luke's greetings,Chris Confidentiality Notice This message is being sent by or on behalf of a lawyer. if you are not the named addressee,FW: St. Luke's greetings
"Pretty funny.
---------------------- Forwarded by Phillip M Love/HOU/ECT on 11/13/2000 
10:10 AM ---------------------------
   
	Enron North America ...",Kids Find Contested Ballot to be Child's Play,"""it's a ballot that perplexed and upset by the lingering chaos of this week's presidential election,"" the Shre",Kids Find Contested Ballot to be Child's Play
"Deal excluded on Services desk on the original version and ST  SW desk was adjusted differently.

Please see me if you have any questions.

Thanks

Mi...","Pac (t) true up for July, 2nd version",deal excluded on Services desk on the original version and ST SW desk was adjusted differently. please see me if you have any questions.,Deal excluded on Services desk on the original version
"Records indicate that there are a significant number of employees who have yet to have a drug test.

Here are the details of the locations in Houston,...",Urgent - Drugs Test Reminder,records indicate that there are a significant number of employees who have yet to have a drug test. here are the details of the locations in Houston,Records indicate that a significant number of employees have yet to have a drug test
"I see a deal on our list from CES-Wholesale which includes a deal with CNG 
Field Services with a term of 8/1/99 through 8/1/00 for a monthly volume o...",Citygate Production GAS behind TCO - PLEASE READ,"CES-Wholesale is asking me if they should pay the invoice for CNG Field Services for January. the volume is 13,113",Citygate Production GAS behind TCO
"Mark:
I just wanted to update you on where things stand currently with respect to 
the Domain Name Transfer Agreement that we are negotiating with Ris...",Domain Transfer Agreement,"we are negotiating with risk management solutions, Inc. to transfer the URL domain name. we were asked to transfer the URL domain name with no strings",Domain Name Transfer Agreement
"---------------------- Forwarded by Larry May/Corp/Enron on 02/15/2001 02:12 
PM ---------------------------
   
	
	
	From:  Frank Hayden             ...",Vince's GARP Presentation,"Frank Hayden 02/15/2001 02:12 PM To: Rudi Zipter/HOU/ECT@ECT, Vladimir Gorny/HO",Vince's GARP Presentation
"Please respond to Bestfares.com Hot Deals  Today's Hottest Travel Deals from Bestfares.com!
 
This week, we have added more travel days to our popular...","New extended $174 rt fare sale thru Oct. 26, '01","this week, we have added more travel days to our popular $174 roundtrip fares. now you can purchase tickets for travel through October 26, 2001",Bestfares.com Hot Deals
"I think it is a good opportunity to promote standardized contracts.  Mark



	Ruth Ainslie <RAinslie@isda.org>
	02/10/2001 05:07 PM
		 
		 To: Mark Ha...",March 6 Energy Conference:  Press,Mark Ruth Ainslie RAinslie@isda.org> 02/10/2001 05:07 PM To: Mark,March 6 Energy Conference: Press
"We did establish with Product Control, but you know how I feel about that.  We are still getting a number of calls from Commercial people asking to pr...",Commercial Priorities,we are still getting a number of calls from Commercial people asking to prioritze. I am okay to deal with exceptions as they arise ,Commercial Priorities
Start Date: 1/22/02; HourAhead hour: 21;  HourAhead schedule download failed. Manual intervention required....,Schedule Crawler: HourAhead Failure,manual intervention required. HourAhead schedule download failed.,HourAhead schedule download failed
"I refer to the conference call which is to be held on Friday 18 February 
(Sydney time).  

Following are the details of the AT&T conference call for ...",Japan Working Group Conference Call,the conference call is to be held on Friday 18 February (Sydney time) the conference call will be held on friday 18 February.,AT&T conference call
"September 11, 2001
September's terrorist attacks have taken a terrible toll in human 
lives and investor confidence. As the nation heals, now is not t...",Datek's October 2001 Insite,"investors are considering ways to take a more defensive stance with their portfolio. this time of market challenge, many investors are considering ways to take ",Defense is the Best Offense
"Hi Dee:

Per our conversation, I am attaching the listing of the Research Group.
We would like  50 sets of the wallet size telephone cards made up.

O...",Wallet Size Telephone Cards for the Research Group,"if you have any questions, please call me at 3-5290.",Research Group
"I've entered the following deals per the lending agreement with El Paso. We'll be short 50 mw at Palo tomorrow, and this energy will need to be procur...",Lending (Short) for 07/25/01,"we'll be short 50 mw at palo tomorrow, and this energy will need to be procured in the hour-ahead market","Lending for 07/25/01 Group,"
"Please change the Sitara tickets dating back to January 2000 and let me know 
when you are finished.

Thank You,
Tina Valadez




Daren J Farmer
10/16...",Koch Midstream Services Co,"you can change the tickets in Sitara to the Duke counterparty (or create new tickets) if you need me to, so that we can",Koch Midstream Services Co
Start Date: 10/14/01; HourAhead hour: 11;  HourAhead schedule download failed. Manual intervention required....,Schedule Crawler: HourAhead Failure <CODESITE>,manual intervention required.,Start Date: 10/14/01; HourAhead hour: 11;
"I told you wrong on date for next mtg if you need approval. That date would  
be Feb 13. I'm tied up w/ bonus/review stuff for foreseeable future. feb...",when's the next board meeting?,feb works better for lunch. feb works better for lunch.,Date for next mtg
"Obviously, these dates are for year 2001!

>  -----Original Message-----
> From:  Bill Haack
> Sent: Friday, July 28, 2000 2:00 PM
> To: 'Jeff Skillin...",YPO Area conference dates,"the dates for the aspen conference > that we talked about are Sept. 20, 21 and 22. we would want to target > one of those morning",YPO Area conference dates
"ATTORNEY CLIENT PRIVILEGED

Attached is a revised memo from Dan Watkiss that expands on his memo earlier 
this week and specifically answers the quest...",Jurisdiction over TVA,"a revised memo from Dan Watkiss answers questions about FERC's authority to fix the sink, net scheduling, and interconnection",A revised memo from Dan Watkiss
"----- Forwarded by Suzanne Nimocks/HOU/NorthAmerica/MCKINSEY on 06/06/2001
12:01 PM -----

                     Thomas Seitz
                     06/0...",EASTMAN: two senior executives to retire in company split,two senior executives to retire in company split FYI Eastman has announced senior executives for the two new companies. look like Chitwood will no longer,EASTMAN: two senior executives to retire in company split
"Dear Jennifer,

My apologies, I thought that I had forwarded this information to you last
month.

Sean

-----Original Message-----
From: George_Leon@s...",Enron Media Contacts,the absolute correct person for them to meet and who will make the media buying decision would be Ms. Cherie Crane. the absolute correct person,FW: Enron Media Contacts
"Sorry for the delay.  Attached is the worksheet.



 -----Original Message-----
From:  Shackleton, Sara  
Sent: Thursday, May 24, 2001 4:03 PM
To: Cur...",Frontera - ISDA Agreement,"I sent a request for a credit worksheet to Paul Radous on may 16. if not, would you pass it to the person who",Frontera - ISDA Agreement
"Help CPS Kids! Enron, KRBE and Sun and Ski Sports are collecting donations=
=20
for Children's Protective Services' Be A Resource
 (BEAR) Program to p...",Enron In Action 12.11.00,"Enron, KRBE and Sun and Ski Sports are collecting donations= =20. make your donation= =20 and receive a $10",Enron HOLIDAY
"We have learned (through EPSA -- no FERC issuance has been made yet) that F=
ERC plans to have the follow panels for RTO Week, October 15-October 19:
...",RTO Week Panel Makeup,FERC staff are ex= tended by FERC staff now. invitations are being ex= tended by FERC staff ,ERC plans to have the follow panels for RTO Week
"Chris,

What is the time frame for us receiving the meter procedures from the UDCs?

Thanks

Ken...",Meter Procedures from UDCs,"Chris, what is the time frame for us receiving the meter procedures from the UDCs?",Timeframe for us receiving the meter procedures
"---------------------- Forwarded by Ami Chokshi/Corp/Enron on 03/22/2000 
03:40 PM ---------------------------


""Steve Holmes"" <Steve.Holmes@dvn.com>...",April Availabilities,the spreadsheet outlines volumes available from Devon Energy for the month of April 2000. all three tabs contain volumes available for sale to Enron ,April Availabilities
"US FERC Chairman Vows Action By Dec On Western Pwr Woes
? 
10/05/2000 
Dow Jones Energy Service 
(Copyright (c) 2000, Dow Jones & Company, Inc.) 
WASH...",US FERC Chairman Vows Action By Dec On Western Pwr Woes,"the federal energy Regulatory Commission will act no later than December. the commission will ""take serious action"" in response to the staff report. the",U.S. Federal Energy Regulatory Commission
"Madame Chair Elsesser:

It appears you may not have a quorum.  I too have a conference call at 10:00
a.m.  I hope to be able to make it over to the Co...",CESG Committee Meeting,"Tony Braun Braun & Associates, P.C. 915 L Street Suite 1460 Sacramento, California 95814 (916) 441-1733",Re:CESG Committee Meeting
"Kevin Hyatt and I attended Sempra Energy Trading's weather derivatives 
briefing in Houston last night, chaired by their chief meterologist, Dan 
Guer...",CPC's Winter Weather Prediction for the U.S.,Kevin Hyatt and I attended sempra Energy Trading's weather derivatives briefing. he sees slightly above average temperatures for the,Sempra Energy Trading weather derivatives briefing
"FYI

Vince
---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 08/14/2000 
03:49 PM ---------------------------
   
	Enron North America C...",Economic Espionage Act Presentation Reminder,the presentation is scheduled to begin at 1:30 and will be held in the 50th floor board room. the presentation is scheduled to begin at 1:30,Economic Espionage Act Presentation Reminder
"Attached is a copy of a letter which we are sending to our Corporate, Enron 
North America Corp., Enron Energy Services Operations, Inc., and Portland...",Conflict of Interest Policy Mailing to Vendors,"Enron's business ethics policy states that no lavish entertainment or gifts are to be given or received by Enron employees for special position, price",Enron's Business Ethics Policy
"All,
Lee asked me to forward this.  I'm still awaiting additional suggestions from
anyone on speakers.

I guess Lee's e-mail changes things.  If the b...",Possible co-sponsorships,if the business school wants to go forward with a conference anyway then it may be a bad idea to have a separate one. ,Possible co-sponsorships
"No, it should remain the top 25 percent, because it is the top percentage of the criteria, not the peer group.  Thanks.  Michelle

 -----Original Mess...",Performance Bonus Language,the top 25 percent of the criteria should remain the top 25 percent. the top two categories are 35% should this be changed to top 35%?,Performance Bonus Language
"PG&E's real estate rumors
Dow Jones Interactive
October 12, 2001
 
 
Generators Have No Plans To Change Pwr Deals With Calif
Dow Jones Interactive
Oct...",California Power Updates,PG&E's real estate rumors are floating around the commercial real estate world. PG&E is looking to unload more than,PG&E's real estate rumors
"Start Date: 4/19/01; HourAhead hour: 22;  No ancillary schedules awarded.  
Variances detected.
Variances detected in SC Trades schedule.
Variances de...",Start Date: 4/19/01; HourAhead hour: 22;  <CODESITE>,Variances detected in SC Trades schedule. Variances detected in Load schedule.,Start Date: 4/19/01; HourAhead hour: 22; CODESITE>
"great!



	Melissa Ann Murphy
	12/14/2000 02:22 PM
		
		 To: Sara Shackleton/HOU/ECT@ECT
		 cc: 
		 Subject: Re: Waste Management Draft Swap

Yes I pr...",Waste Management Draft Swap,SS ----- Forwarded by Sara Shackleton/HOU/ECT on 12/14/2000 01:10 PM ----- Chris H Foster,Waste Management Draft Swap
"[IMAGE]
	Wallstreet.com?|  Join  for Free?| Blackjack?|  Download Free  Casino |  Five 
Cent Fridays  | Unsubscribe  
	10%  CASH BONUS AND 1/2 PRICE O...",NEVER A DOWN DAY AT WALLSTREET.COM,Wallstreet.com paid one million dollars to purchase the domain name Wallstreet.com. REMEMBER: ALL NEW MEMBERS GET,Wallstreet.com Unsubscribe 10% CASH BONUS AND 1/2 PRICE ODDS
"El Paso South Mainline Shut-in Extended

The U.S. Transportation Department's Office of Pipeline Safety (OPS) has 
ordered all three of the pipes comp...",El Paso South Mainline Shut-In Extended,the order comes in the wake of the explosion and fire that ripped through one of those lines. the DOT is directing El Paso to,El Paso South Mainline Shut-in Extended
"I just wanted to give all of you an update to my previous message on the 
replacement for Brian Heinrich in Financial Operations.  Jennifer Blay was 
...",New Financial Operations Contacts for Energy Operations,the newest addition to the Financial Operations staff is Holly Heath. she is located at EB-2419A and can be reached at Ext,Financial Operations
"Responsibility  for daily operations of building support services in the=20
Enron Building, Houston leased offices, and Two Pacific Place (Omaha) will...",Reorganization of Houston and Omaha Facilities Management,"responsibility for daily operations of building support services in the=20 Enron Building, Houston leased offices, and Two Pacific Place (Omaha",Responsibility for daily operations of building support services
"Following please find the Weekly Management Report and the Daily Executive 
Summary. 

EnronOnline Executive Summary for 11/17/00
Transaction Summary	...","EnronOnline Management Report for November 17, 2000","EnronOnline Executive Summary for 11/17/00 Transaction Summary External Transactions Today 5,171 Average Daily External Transactions (30 day Trailing A",Weekly Management Report and Daily Executive Summary
"Linda --

I thought that Ray set up a daily call regarding the CA and Pacific Northwest Refund litigation at FERC?  It's not on my calendar.  Can you ...",DAILY FERC REFUND CALL?,can you please call Bernadette Hawkins to verify and put on my calendar?,CA and Pacific Northwest Refund
"Ken

Enron supports employees' involvement in civic organization
and I think you should continue tour involvement with LWF.
It's important that we giv...",My involvement in Leadership Fort Worth,ken Enron supports employees' involvement in civic organization. you don't have to take a day off to attend workshops. ,My involvement in Leadership Fort Worth
"Thanks, Mark!


To: Paul Simons/LON/ECT@ECT
cc:  

Subject: Re: EnronCredit/Deutsche Bank  

I certainly haven't seen anything and there is nothing in...",EnronCredit/Deutsche Bank,Paul Simons/LON/ECT cc: Subject: EnronCredit/Deutsche Bank Mark Hope all's well ,EnronCredit/Deutsche Bank
"---------------------- Forwarded by Kay Mann/Corp/Enron on 11/30/2000 12:11 
PM ---------------------------


""Thompson, Peter J."" <peterthompson@akll...",City of Austin Blackline Original to Final.DOC,------------------ Forwarded by Kay Mann/Corp/Enron on 11/30/2000 12:11 PM.,City of Austin Blackline Original to Final.DOC
"Nicole Mendez 
Sr. Administrative Assistant
EWS - Financial Operations
EB 2375D
Phone: 713-853-1431
Fax: 713-646-5997




 -----Original Message-----
...",Don't Forget To Vote !,Nicole Mendez Sr. Administrative Assistant EWS - Financial Operations EB 2375D Phone: 713-853-1431 Fax:,Team Building Event - Please Vote 1. Malibu Grand Prix
"[IMAGE]





[IMAGE]
[IMAGE]
[IMAGE]
[IMAGE]
[IMAGE]

[IMAGE]
[IMAGE]
[IMAGE]
[IMAGE]
[IMAGE]
[IMAGE]

November 15, 2000



To modify your profile, or...","InfoBeat Fun - Daily Dose - Nov. 15, 2000",the new york Review of Books has a long list of contributors who've made a huge mark on the world of letters. the magazine,Cool Site of the Day Fact of the Day
"Have you had any more thoughts about joining HYC ?  (in between other probl=
ems)

If you're interested, this is a pretty good party (even if you're n...",MOSQUITO FLEET LOBSTER BOIL!!,"if you're not inter= ested in HYC it's some good lobster, let me know. talked to Ba",The Commodore's Ball
Start Date: 1/8/02; HourAhead hour: 5;  HourAhead schedule download failed. Manual intervention required....,Schedule Crawler: HourAhead Failure,manual intervention required.,HourAhead schedule download failed
"Hello, R users:

When I use help.start() function and the browser (Netscape) opens, and
I use the Search Engenie & Keywords, it doesn't work.
And some...",[R] Problems with search,"search results No matches for ""resgression"" have been found. ""i386-pc-mingw32"" $arch """,Search Results
"Notice No.:  01-153
May 4, 2001

To:
All NYMEX Holdings, Inc. Stockholders

From:
Donna M. Talamo, Director
Office of the Corporate Secretary

Re:
NYM...","(01-153) NYMEX HOLDINGS, INC.  CANDIDATES FORUM","candidates=01, forum is sched= uled=20 to be held on the 10th floor in the= =20 Boardrooms","NYMEX HOLDINGS, Inc."
"Looks like a good court decision on the reciprocal access issue for=20
interconnection agreements.

Do we know what's meant by ""advanced services"" in ...","TR Daily, 08 May, 2001",this electronic publication is copyrighted by Telecommunications Reports International. this electronic publication is copyrighted by Telecommunications Reports,"TR Daily, 08 May, 2001"
"Hi Mark,

I was just wondering if you had had the time 

To think about  the issues we need to address if we were to have a draft 
agreement  with the...",Houston Chronicle/ Broker Access to EOL,the last we talked about it you were going to put some basic ideas together in an email and send it to Louise and myself. can we offer,Houston Chronicle Agreement
"Kim:  See if this link works.  Sara


Sara Shackleton
Enron North America Corp.
1400 Smith Street, EB 3801a
Houston, Texas  77002
713-853-5620 (phone)...",Financial Trading Agreements Database Link,"Sara Sara Shackleton Enron North America Corp. 1400 Smith Street, EB 3801a Houston, Texas 77002 713-",Financial Trading Agreements Database Link
"Paul, FYI, Kim.

 -----Original Message-----
From: 	Jolly, Rich  
Sent:	Wednesday, October 03, 2001 10:41 AM
To:	Watson, Kimberly
Subject:	RE: FW: Gal...",FW: Gallup Peak Power Avoidance Data Points,Gallup requires us to guess both the day of the month their peak will occur and the time of day. the contract states avoiding the peak during,Gallup Peak Power Avoidance Data Points
"The following is the manual entries that we need booked for May production:
Transport Expense to Texas Intercompany - ($1,721,448)
Transport Revenue t...",0005 Transport manual entry,the manual entries that we need booked for May production are the manual entries that we need booked for production. the manual entries are the manual entries that we,Manual entries for May Production
Start Date: 1/30/02; HourAhead hour: 6;  HourAhead schedule download failed. Manual intervention required....,Schedule Crawler: HourAhead Failure,manual intervention required. HourAhead schedule download failed.,Start Date: 1/30/02; HourAhead hour: 6; HourAhead schedule download failed.
"Little correction going forward

The higher of
St 65 Offer plus $.27
TCO Offer plus $.19

---------------------- Forwarded by Chris Germany/HOU/ECT on...",OGY using VNG capacity,the higher of St 65 Offer plus $.27 TCO Offer plus $.19 --------------- Forwarded by Chris Germany/HOU,OGY using VNG capacity
